brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
alma natura social sl,Spain,other personal service (isic 9609),www.almanatura.com,rural development & social innovation,"somos una empresa social fundada en 1997 en arroyomolinos de león (huelva), preocupada por la alarmante pérdida de población rural que sufre españa. para ello diseñamos experiencias de aprendizaje transformador con el objetivo de fijar población.",fijar población al entorno rural impulsando oportunidades y empoderando a las personas que habitan el medio rural.,153.8,15.1,unknown,14.3,3.3,5.2,b-corp
almach energy ltd,United Kingdom,other renewable energy installation,www.almach.co.uk,renewable energy procurement / consultancy services,we are an energy procurement company committed to only buy 100% renewable energy for our clients. we have successfully converted approximately 670 sites to renewable energy supply contracts.,our aim is to help uk companies reduce their energy costs as well as their environmental impact. we achieve this by either designing a bespoke market strategy or combining the usage of similar companies to access the wholesale energy market.,85.5,35.4,unknown,8.0,1.1,3.6,b-corp
almaciguera consultora,Chile,management  consultant - for-profits,www.almaciguera.com,consultora de micro y pequeñas empresas. sme advisor. asesoría certificación b.,consultorías en responsabilidad social empresarial: proyectos con los stakeholders de la empresa.,almaciguera está convencida del potencial de los territorios del sur y busca apoyar el crecimiento sustentable de la patagonia; y es por eso que diseña asesorías únicas de acuerdo a la realidad de cada organización con la que trabaja.,109.4,8.5,unknown,6.4,4.0,0.9,b-corp
alter eco,United States,food products,www.alterecofoods.com,fair trade & organic foods,"alter eco works with dozens of small scale agricultural cooperatives in the global south to provide a fairer deal and market access for small farmers. alter eco offers a large range of exquisite fair trade, organic and carbon neutral foods.","alter eco gets its name from two of its cornerstone principles — economic alternative, for a different and fair approach to trade, and ecological alternative, for a more environmentally sustainable approach to farming.",150.4,49.2,0.0,49.2,2.7,5.2,b-corp
altman partners,France,management  consultant - for-profits,www.altman-partners.fr/,management and organisation consulting & coaching,we are composed of 3 passionate and purpose driven consultants,"change the way people work, co-construct companies that we want for our children, alive, and that respect everyone's aspirations",84.6,6.1,unknown,6.1,2.5,0.7,b-corp
"altschool, pbc",United States,pre- & primary education,altschool.com,education and education technology,"altschool opens and operates first-party, private schools focused on providing personalized education to students.  altschool also develops educational technology and best practices, which it currently uses in its schools.","we believe that every child should have access to an exceptional, personalized education that enables them to be happy and successful in an ever-changing world.",100.3,2.9,unknown,2.9,0.0,0.7,b-corp
"altvia solutions, llc",United States,computer programming services,www.altvia.com,software,"altvia is the leading provider of flexible, web-based software solutions for alternative asset fund managers, institutional investors, and impact investors.","altvia is a source of energy, inspiration, and abundance for our employees, clients, & partners.",82.2,9.7,unknown,9.7,0.7,1.4,b-corp
alvéole,Canada,other personal services,www.alveole.buzz,"backyard, corporate and school services, honey, wax products",alvéole helps people and organizations install and care for urban honeybee colonies in the city.,alvéole helps people and organizations install and care for urban honeybee colonies.,80.0,29.6,unknown,12.4,1.5,2.9,b-corp
amalgamated bank,United States,deposit bank - developed markets,www.amalgamatedbank.com,financial services,amalgamated bank is a full-serviced commercial bank.,"our mission is to be the preeminent bank of progressive people, organizations, businesses and labor. we will provide accessibility to all people and serve as an advocate for progressives and workers.",87.3,7.0,unknown,7.0,1.3,1.1,b-corp
amata,Brazil,forestry & logging,www.amatabrasil.com.br,traced and certified solid wood,amata is a brazilian forestry company that exists in order to maintain the native forests standing through the creation of forest economy in sustainable territories.,maintain the native forests standing through the creation of forest economy in sustainable territories.,90.5,50.9,unknown,16.6,5.8,4.1,b-corp
amavida coffee and trading,United States,food products,www.amavida.com,coffee,"amavida coffee is an importer and roaster of fair trade organic coffees in the panhandle of florida. amavida coffee wholesales coffee, tea, and other products along with operating four (4) cafes.","our mission: friendly and fair



at amavida coffee we are committed to building long-lasting caring relationships with our customers, farmers, environment, suppliers, employees, and finally our community.",133.3,27.9,unknown,16.0,1.8,6.8,b-corp
amazonas explorer,Peru,other personal services,www.amazonas-explorer.com,adventure tour  operator,"amazonas explorer uses adventure to take you beyond the crowds and enrich your journey to machu picchu. rigorous safety, great guides and truly expert advice gleaned from thirty years of exploring.","to be the number 1 adventure travel provider in cusco peru with emphasis on environmentally friendly, high quality, safe practices, amazing guides, great food and quality equipment and to be a company that is great to work for.",86.4,13.3,unknown,13.3,3.7,4.3,b-corp
